Year,Anime_Name,Rank,Score
2011,永远之久远 第一章 泡沫的花瓣,3481,6.7
2014,变态！,7072,5.9
2015,与魔共舞,7763,5.6
2015,BLAME! 端末遗构都市,3972,6.6
2013,血型君,3014,6.9
2012,三人行必有我妹,7931,5.7
2011,刀锋战士,7305,5.6
2012,.hack//Versus 塔那托斯报告,3049,6.7
2012,穿靴子的猫：萌猫三剑客,3647,6.7
2014,魔术快斗1412,4839,6.5
2013,只要你说你爱我 OAD,6227,6.1
2012,剧场版 精灵宝可梦 超级愿望 酋雷姆VS圣剑士 凯路迪欧,7363,5.8
2013,正义联盟：闪点悖论,1198,7.4
2015,城下町的蒲公英,3578,6.8
2011,宝贝公主,5407,6.3
2013,虽然是玻璃假面,4537,6.4
2014,姐姐的妄想日记 霭子姐那即使从本篇中跑出来也停不下来的独角戏,7391,5.7
2014,选择扩散者WIXOSS,3811,6.7
2012,アンスイート 寝取られ堕ちた女たち,6315,6.1
2013,母娘乱馆,7267,5.8
2013,瑞克和莫蒂 第一季,53,8.5
2014,乒乓,27,8.6
2015,血型君2,4893,6.5
2013,宇宙海盗船长哈洛克,5099,6.4
2013,电影 心跳！光之美少女 小爱结婚了！！？连结未来希望的婚纱,3961,6.6
2015,12岁 第二季,6129,5.7
2013,失忆症,6839,6.0
2015,忍者杀手,821,7.5
2014,剧场版 精灵宝可梦XY 破坏之茧与蒂安希,6222,6.2
2014,心理测量者2,3283,6.8
2011,拟态催眠,6903,5.5
2014,拂晓的尤娜,2809,6.9
2013,兄弟战争,7664,5.8
2011,英雄传说 空之轨迹,7924,5.6
2011,魔法少女艾丽娜,5899,6.2
2011,巨乳愛心 ～她在猛獸發情期！～,6490,6.0
2015,终结的炽天使,8117,5.6
2015,海绵宝宝历险记：海绵出水,5751,6.2
2014,真的存在 女○中生 不能去做的秘密兼职 明日香,8229,5.0
2015,3Ping Lovers！☆欢迎来到一夫二妻的世界♪ THE ANIMATION,6857,5.9
2015,水星领航员 The AVVENIRE,81,8.4
2012,马达加斯加3,2566,7.0
2014,帕罗的未来岛,5780,6.2
2014,CROSS ANGE 天使与龙的轮舞,5322,6.4
2014,上课小动作,2345,7.0
2015,黑塔利亚 第6期,3063,6.9
2015,铳皇无尽的法夫纳,8492,5.2
2012,女子落语,1052,7.4
2014,功夫兔与菜包狗,1180,7.4
2012,Little Busters!,2042,7.1
2016,避难所,841,7.5
2010,淫梦学园,6024,5.7
2011,美食的俘虏3D 开幕！美食家的冒险！！,4926,6.1
2010,鲁邦三世 最后的工作,2333,7.0
2015,高校星歌剧,4435,6.5
2012,摇曳百合♪♪,539,7.7
2012,纯洁的轮舞曲,4658,6.6
2014,兄弟战争OVA,6623,5.9
2016,美妙天堂 第三期,1482,7.4
2013,疯狂原始人,2618,7.0
2010,轻音少女 第二季,85,8.3
2010,DARKER THAN BLACK -黑之契约者- 外传,671,7.6
2010,欲望学院 零,6568,6.0
2010,某科学的超电磁炮 OVA,1742,7.2
2014,Hybrid Child,1918,7.2
2012,Sacred Seven 银月之翼,6835,5.7
2012,纸人,1519,7.3
2013,学活！ 第二季,3463,6.7
2011,日常 OAD,549,7.7
2010,超级大坏蛋,3087,6.9
2010,今天开始恋爱吧,7103,5.7
2010,腐女子的品格,5250,6.1
2010,魔法禁书目录 第二季,4030,6.7
2010,剧场版 精灵宝可梦 钻石&珍珠 幻影的霸者 索罗亚克,4585,6.5
2010,亲吻那片花瓣 「恋人的羁绊」,1201,7.4
2011,钢之炼金术师 叹息之丘的圣星,2916,6.9
2011,侵略！？乌贼娘,1846,7.2
2010,BUST TO BUST－ちちはちちに－,7749,5.2
2013,向山进发,2147,7.1
2014,PeroPero☆老师,7799,5.4
2011,雨之城,2284,7.1
2014,夏目友人帐 曾几何时下雪之日,660,7.6
2015,暗杀教室,1342,7.3
2013,小魔女学园,705,7.6
2013,精灵宝可梦 超级愿望 第2季 N之章,5624,6.3
2016,3月的狮子,91,8.3
2012,钢铁魔女安妮罗杰,4195,6.6
2012,冰菓,115,8.2
2014,何时搅了荷包蛋的黄？,4198,6.6
2011,魔法少女小圆,34,8.6
2011,秦汉英雄传,1142,7.7
2015,排球少年 列夫参上,2685,6.9
2012,OZUMA,5325,6.3
2013,科学家们,8126,5.4
2015,无头骑士异闻录×2 承 我的心是火锅的形状,1885,7.2
2012,啦啦啦德玛西亚 第二季,5681,6.3
2015,择天记,7495,5.1
2013,米老鼠2013 第一季,1629,7.4
2011,姉SUMMER！,4241,6.6
2014,恋愛不要学派 THE ANIMATION,7073,5.8
2011,驯龙高手番外篇：龙的礼物,3488,6.6
2015,LOVELY×CATION THE ANIMATION,3977,6.7
2015,温泉幼精箱根酱,7766,5.7
2013,攻壳机动队ARISE border:1 Ghost Pain,3039,6.9
2012,ラブリデイ～僕と彼女の七日間～,7937,4.9
2012,武装神姬,6340,6.2
2013,巧克力小狗,7273,5.4
2011,食梦者玛利,6912,6.0
2011,虹猫蓝兔勇者归来,5912,5.9
2011,学園3～華麗なる悦辱～ THE ANIMATION,6498,6.0
2014,愚者信长,8249,5.4
2015,女武神驱动 美人鱼,6861,6.1
2010,大小姐喜欢H,6038,6.2
2012,DOG DAYS',4668,6.6
2012,甜心格格 第二季,3050,6.8
2011,メイド姉,7325,5.6
2012,潜行吧！奈亚子 OVA,3671,6.7
2014,斩·赤红之瞳！,4875,6.5
2013,开心超人,6232,6.0
2013,飙速宅男,1205,7.4
2013,萝球社！SS,4546,6.6
2011,萝球社！,5507,6.4
2012,太太是天使？,7376,5.5
2014,超神学院 第二季 巨峡号,7393,5.6
2015,少年好莱坞 第二季,3581,6.5
2014,天降之物Final 永远的我的鸟笼,3825,6.7
2013,物语系列 第二季,136,8.2
2014,虫师 续章 第2部分,37,8.6
2015,干支魂,4899,6.5
2013,恶魔幸存者2,5117,6.5
2013,美食的俘虏剧场版 美食神的超食宝,3979,6.3
2015,美男高校地球防卫部LOVE！,6146,6.2
2013,せいこう！ 〜幼なじみは照れくさそうに嘘をつく〜,6867,5.8
2015,机动战士高达 雷霆宙域,839,7.5
2014,王牌御史,6284,6.1
2014,属性同好会,2825,6.9
2014,熊的故事,3287,6.6
2011,龙之界点！,7940,5.7
2013,当不成勇者的我，只好认真找工作了。,7706,5.8
2015,秦时明月之帝子降兮,5753,6.2
2015,狂热纯爱,8123,5.1
2012,潜行吧！奈亚子,2573,7.0
2015,吹响！悠风号,82,8.3
2014,天才眼镜狗,5788,6.2
2014,蝙蝠侠：突袭阿卡姆,2368,7.0
2015,幸腹涂鸦,3117,6.8
2014,稻荷恋之歌 OAD,5332,6.4
2015,绝对双刃,8502,5.2
2014,JOJO的奇妙冒险 总集篇,1187,7.4
2016,轻拍翻转小魔女,846,7.5
2012,超译百人一首 歌之恋,1078,7.4
2011,名侦探柯南 MAGIC FILE 2011 ～新泻·东京 礼物狂想曲～,4929,6.4
2012,爱杀宝贝,2057,7.1
2010,超剧场版 Keroro军曹 诞生！究极Keroro奇迹的时空之岛！！,2445,7.0
2015,樱子小姐的脚下埋着尸体,4468,6.6
2010,麗辱の館,6571,5.7
2010,哆啦A梦：大雄的人鱼大海战,5310,6.4
2010,苍穹之法芙娜 HEAVEN AND EARTH,1218,7.4
2012,探险活宝 第四季,543,7.9
2014,天然恋色アルコール,6713,5.9
2010,魔法少女奈叶 The MOVIE 1st,676,7.6
2013,熊出没之过年,2637,7.0
2016,我的青春恋爱物语果然有问题 续 OVA,1503,7.3
2010,战斗之魂Brave,135,8.5
2012,Muv-Luv Alternative Total Eclipse,6873,6.0
2014,超能陆战队,1939,7.2
2012,时光钟摆,1521,7.3
2010,魔发奇缘,1755,7.2
2013,玩具总动员之惊魂夜,3471,6.6
2010,想起了你,3110,6.7
2011,监狱兔 第四季,570,7.7
2010,プリンセスナイト☆カチュア,7125,5.8
2010,美熟母,7769,5.3
2014,最近，妹妹的样子有点怪？,7808,5.8
2012,勇敢传说,4196,6.6
2010,黑塔利亚剧场版,4587,6.6
2016,高达创战者TRY 岛上战争,6045,6.2
2011,「C」,2943,6.9
2011,天降之物 计时的悲伤女神,1847,7.2
2011,丁丁历险记,2411,7.0
2013,苍蓝钢铁的琶音,2149,7.1
2014,美妙天堂,670,7.7
2010,绝对可怜children OVA,4065,6.5
2013,宇宙战舰大和号2199 第四章「银河边境的攻防」,707,7.7
2013,黑与金之钥匙,8170,5.1
2014,GO!GO!575,7089,5.9
2015,动画讨论同好会,3988,6.6
2011,永远之久远 第三章 梦幻的连座,4264,6.6
2012,美少女死神 还我H之魂,7948,5.7
2011,School,6512,5.9
2010,名侦探柯南 天空的遇难船,6056,6.3
2011,喜羊羊与灰太狼之给快乐加油,7415,5.4
2012,Brandish,7413,5.7
2013,漫画少女,6868,6.0
2013,Code Geass 亡国的阿基德 第二章「翼龙折翅」,5683,6.4
2014,青春之旅 OAD,4200,6.6
2015,新我们这一家,1346,7.4
2016,昭和元禄落语心中,147,8.2
2011,世界第一初恋 OAD,1147,7.4
2012,来自新世界,131,8.2
2015,英国一家，吃在日本,2707,6.9
2011,日常,49,8.5
2012,不才・秋山优花里的战车讲座,5331,6.3
2012,方便的炮友？,5739,6.3
2015,野良神 ARAGOTO,1887,7.2
2015,侦探小队KZ事件簿,7505,5.4
2013,恋爱研究所,1693,7.2
2011,数码宝贝合体战争～邪恶的死亡指挥官与七个王国～,3491,6.6
2015,悦楽の胤 THE ANIMATION,7781,5.4
2013,虜ノ契 ～家族のために身体を差し出す姉と妹～,7289,5.6
2013,攻壳机动队ARISE border:2 Ghost Whispers,3041,6.9
2011,名侦探柯南 来自伦敦的秘密指令,5936,6.3
2012,萌幻变身,6345,5.7
2011,万能蔬菜卜卜侠,6920,5.8
2014,白银的意志 ARGEVOLLEN,8295,5.3
2015,没有黄段子存在的无聊世界,6883,6.1
2012,上海蝙蝠侠,3088,6.8
2012,女神异闻录4 剧场版,4699,6.5
2012,High School D×D OAD,3683,6.7
2013,姐姐 喜欢 爱・讨厌・最喜欢了。,6247,6.1
2014,战国BASARA Judge End,7404,5.7
2013,约会大作战,4566,6.6
2013,颠倒的帕特玛,1217,7.4
2011,歌之王子殿下 真爱1000%,5527,6.4
2015,和谐,3595,6.8
2014,史上最强弟子兼一 暗之袭击,3834,6.6
2014,虫师 续章,44,8.5
2014,飙速宅男 Re:RIDE,4888,6.2
2013,歌牌情缘 第二季,143,8.2
2015,GATE 奇幻自卫队,4900,6.5
2013,Free!,4009,6.7
2013,萝球社 OAD,5149,6.4
2015,夏洛特,6210,6.3
2015,头脑特工队,851,7.5
2015,麻吕的患者是蓝领,8137,5.2
2014,驯龙高手2,3315,6.8
2014,狼少女与黑王子,6293,6.2
2014,命运石之门 聪明睿智的认知计算,2828,6.9
2011,豚姫様,7978,4.9
2015,黑白小姐 第二季,5755,6.3
2013,JUNK LAND THE ANIMATION,7725,5.3
2012,元气少女缘结神,2615,7.0
2014,拉链超人组,5799,6.1
2014,灰色的果实,2369,7.0
2015,少女与战车 剧场版,84,8.3
2014,LOVE STAGE!!,5338,6.4
2014,花物语,1197,7.4
2010,姉汁2 THE ANIMATION～白川三姉妹におまかせ～,6597,6.1
2014,搞姬日常,6740,6.1
2015,茶啊二中第二季,3135,6.7
2015,豚の如き山賊に捕らわれて処女を奪われる巨乳姫騎士＆女戦士 ～絶対チ◯ポなんかに負けたりしない!!～ THE ANIMATION,8514,4.6
2011,罪恶王冠,5007,6.5
2012,出包王女Darkness,1079,7.4
2010,电影 光之美少女 All Stars DX2 希望之光☆守护彩虹宝石！,2458,7.0
2012,.hack//世界的彼方,2074,7.1
2016,星之梦～星之人～,849,7.5
2015,境界的彼方 -I'LL BE HERE- 过去篇,4496,6.6
2012,飞出个未来 第7季,552,8.0
2010,笨蛋，测验，召唤兽,1221,7.4
2010,向阳素描×☆☆☆ 特别篇,684,7.6
2013,皮卡丘与伊布☆好朋友,2649,6.9
2010,秋日天空 ～梦之中～,5315,6.4
2016,这个美术社大有问题！,1531,7.3
2010,少年女仆库洛君～天使之歌～,7127,5.8
2010,青春CUP,7786,5.6
2013,喜羊羊与灰太狼之喜气羊羊过蛇年,8190,5.1
2011,装甲骑兵 Case;IRVINE,6515,5.6
2012,爸爸love,7419,5.7
2012,NEXT A-Class,5746,6.1
2015,冰堂伊吹～完美的伊吹会长是拘束抖M的原因～,7792,5.5
2013,幻想玩偶,7290,5.8
2013,虫奉行,6267,6.2
2010,王牌投手 振臂高挥～夏日大会篇～,177,8.1
2014,野良神,1972,7.1
2012,鱼,6908,6.0
2012,Fate/Zero Remix,1535,7.3
2010,变形金刚 ANIMATED,1803,7.3
2013,闪亮的拓人 剧场版,3493,6.8
2010,猫头鹰王国：守卫者传奇,3158,6.7
2012,王者天下,4207,6.6
2011,好想告诉你 第二季,600,7.7
2016,Active Raid -机动强袭室第八课-,6076,6.2
2010,光环：传奇,4634,6.5
2011,苏希的动物园,2420,7.0
2011,闪电十一人GO,1863,7.2
2011,仙乐传说 世界统合篇,2972,6.8
2014,らぶコロン,7824,5.4
2010,亲吻姐姐,4090,6.7
2013,翠星之加尔刚蒂亚,2156,7.1
2014,妄想学生会＊,699,7.6
2013,钻石王牌,725,7.6
2015,狐妖小红娘 下沙篇,4035,6.7
2014,名侦探柯南 异次元的狙击手,7119,6.0
2011,快盗天使双胞胎,7416,5.7
2011,功夫熊猫：非凡传奇 第一季,4270,6.4
2010,薄樱鬼,6095,6.3
2012,ハンプバング!,7954,5.1
2013,催眠術ZERO,6879,5.9
2014,未确认进行式 OAD,4230,6.6
2013,RDG 濒危物种少女,5704,6.4
2011,世界第一初恋,1148,7.4
2016,你的名字。,209,8.0
2015,网球并不可笑嘛 4期,2740,6.9
2015,监狱学园,1398,7.3
2012,日常 ETV版,162,8.2
2012,视而不见,5341,6.3
2011,轻音少女 剧场版,89,8.3
2015,彼女は誰とでもセックスする。,7514,5.7
2013,鸭子生活,1715,7.2
2015,Fate/kaleid liner 魔法少女☆伊莉雅 2wei Herz!,1926,7.2
2011,祝福的钟声 OVA,5970,6.2
2013,歌牌情缘 OAD,3055,6.9
2012,大小姐☆嫁入战争,6348,6.1
2011,学园默示录 番外篇,6929,6.1
2011,妖精的尾巴 欢迎来到 Fairy Hills!!,3495,6.7
2012,卡片战斗先导者 亚洲巡回赛篇,3127,6.7
2014,食客,8296,5.0
2012,火影忍者外传 李洛克的青春FULL POWER忍传,3704,6.7
2015,恶魔克星～色色的恶魔退治～,6895,5.8
2012,竖笛与双肩书包 OAD,4719,6.5
2014,极黑的布伦希尔德,7441,5.9
2013,女高中生的腰技,4568,6.5
2013,冰雪奇缘,1242,7.3
2011,鬼父 Re-birth,5538,6.4
2014,攻壳机动队ARISE border:4 Ghost Stands Alone,3859,6.7
2015,干物妹！小埋,3611,6.8
2015,数码宝贝大冒险 tri. 第一章「再会」,8159,5.5
2011,別にアンタの為に大きくなったんじゃないんだからねっ!!,7993,5.0
2013,喜羊羊与灰太狼之开心方程式,7730,5.0
2010,死神 被封印的狂乱之剑,6613,5.9
2014,这个男子、为石化困窘,4894,6.2
2014,虫师 特別篇 蚀日之翳,116,8.2
2013,辉夜姬物语,155,8.1
2015,矶部矶兵卫物语,4934,6.3
2013,AKB0048 next stage,4038,6.6
2013,问题儿童都来自异世界？ OAD,5204,6.4
2015,请问您今天要来点兔子吗？？,872,7.5
2014,龙之谷：破晓奇兵,3331,6.8
2015,东京喰种 JACK,6211,6.2
2014,头文字D Legend1 -觉醒-,2832,6.9
2014,爱·天地无用！,6295,6.0
2015,凹凸世界,5785,6.3
2012,故乡重现 日本的古老传说,2622,6.9
2014,BUDDY COMPLEX 完结篇 -回到那片天空的未来-,5805,6.3
2015,ネトラセラレ,8547,4.6
2010,超级机器人大战OG -The inspector-,5347,6.3
2010,魔法少女伊斯卡,7146,5.7
2012,尸体派对 迷失的舞步,7420,5.8
2015,与禽兽(家人)们同住的家,7807,5.5
2014,奥様は元ヤリマン,7832,5.4
2012,喜羊羊与灰太狼之竞技大联盟,7983,4.7
2013,ARK9,6899,5.1
2015,排球少年 第二季,87,8.3
2014,棺姬嘉依卡 复仇之战,5357,6.4
2014,阿茹茉妮,2381,7.0
2014,当不成勇者的我，只好认真找工作了。 OAD,6798,6.0
2015,电影 Go! Princess 光之美少女 Go！Go！！豪华三部曲！！！,3146,6.8
2014,请问您今天要来点兔子吗？,1229,7.3
2012,宇宙战舰大和号2199 第二章「死战太阳系」,1089,7.5
2010,欢迎来到宇宙SHOW,2472,7.0
2011,宇宙星神,5017,6.3
2012,守护者联盟,2075,7.1
2016,灰与幻想的格林姆迦尔,871,7.5
2015,大家集合！Falcom学园 2期,4530,6.5
2012,剑风传奇 黄金时代篇II 多尔多雷攻略,561,7.7
2010,探险活宝 第一季,688,7.7
2013,血咒圣痕,2668,7.0
2010,黑塔利亚 第3期,1234,7.4
2016,在这世界的角落,1564,7.3
2011,山姫の花 -真穂-,6518,5.8
2013,苍翼默示录 Alter Memory,8243,5.4
2012,后宫时间,5786,6.3
2010,宮崎摩耶大图鉴,7817,5.1
2013,写真女友,7294,5.9
2013,热风海陆bushiroad,6272,6.2
2010,Heart Catch 光之美少女！,188,8.1
2010,GA 艺术科美术设计班 OVA,1809,7.2
2012,圣诞之吻SS+ plus,1562,7.2
2012,ネトラレヅマ ～礼子～,6932,5.9
2014,恶魔阿萨谢尔在召唤你 海葵篇,1973,7.1
2010,家庭教师HITMAN REBORN！彭格列式修学旅行、来了！,3175,6.8
2013,HAL,3502,6.7
2016,香肠派对,6090,6.0
2012,我的朋友很少 Add-on disk,4245,6.6
2010,缘之空,4640,6.6
2011,皇家国教骑士团外传：THE DAWN,2427,7.0
2011,摇曳百合,625,7.6
2011,滑头鬼之孙～千年魔京～,1886,7.2
2011,恶魔奶爸,3008,6.9
2010,好帅好可爱宣言!,4111,6.6
2014,向山进发 第二季,703,7.6
2015,潮与虎,4044,6.7
2013,进击的巨人 OAD,2187,7.1
2014,约会大作战 第二季,7151,6.0
2011,触手和巫女,4288,6.6
2011,くのいち・咲夜,7463,5.3
2010,一骑当千 XTREME XECUTOR,6106,6.2
2014,女神异闻录3 剧场版 第二章 仲夏骑士之梦,4234,6.6
2013,剧场版 花开伊吕波 HOME SWEET HOME,733,7.6
2011,萤火之森,1184,7.4
2013,魔力家族 La prima festa,5764,5.9
2015,伪恋：,2749,7.0
2016,伤物语Ⅱ热血篇,250,8.0
2015,青春×机关枪,7545,5.8
2012,メガネ編,6376,5.7
2014,およめさまHONEYDAYS♡,8336,4.7
2015,厳格クールな先生がアヘボテオチ!,6918,5.9
2013,RIN×SEN＋Ran→Sem Cross Mix,4603,6.5
2011,それでも妻を愛してる,5543,6.3
2011,极道之妻,8068,4.4
2012,宇宙兄弟,179,8.1
2015,Love Live! 学园偶像 电影,1499,7.3
2012,钢索危情,5367,6.3
2011,偶像大师,103,8.3
2013,战勇。,1722,7.2
2015,小羊肖恩,1947,7.2
2011,武装神姬 Moon Angel,5971,6.2
2013,直白标题机器人动画,3058,6.8
2011,悪の女幹部,6966,5.9
2011,功夫熊猫2,3545,6.8
2012,恶魔高校 D×D,3128,6.9
2012,热带之吻,3734,6.7
2012,美妙旋律 Dear My Future,4779,6.3
2014,特別授業3SLG THE ANIMATION,7449,5.7
2013,住宅区友夫,1249,7.6
2015,百万偶像,8549,4.5
2010,爱妻日记,7152,5.7
2015,学园帅哥,7810,5.6
2014,白砂糖战士,7883,4.8
2011,WIZARD GIRL AMBITIOUS,6536,6.0
2012,交响诗篇AO,5798,6.3
2010,管家后宫学园,6626,6.1
2015,轮奸媚药中毒,8166,5.3
2014,山田君与7个魔女 OAD,4967,6.5
2013,狗与剪刀的正确用法,7759,5.8
2015,魔女的使命 OAD,3617,6.7
2014,拜托了老师/双子星 特别篇,3883,6.4
2014,怪诞小镇 第二季,123,8.3
2015,噬血狂袭 女武神的王国篇,5014,6.5
2013,进击的巨人,160,8.1
2013,义风堂堂！兼续与庆次,5205,6.0
2013,超次元游戏 海王星,4095,6.7
2014,在盛夏等待 特别篇,3393,6.8
2015,六花的勇者,6218,6.2
2015,迷糊餐厅 第三季,884,7.5
2014,未确认进行式,2867,6.9
2015,Play Play 昴宿星团,5791,6.3
2014,STRANGE+,6307,6.2
2014,茗记四 尘封追忆,5807,5.8
2012,就算是哥哥只要有爱就没问题对吧,7488,5.9
2013,牝性 －ペルソナ－,6904,5.8
2012,秦时明月之万里长城,2627,7.0
2012,らぶ2Quad,8017,5.4
2014,妖精的尾巴 第二季,2413,7.0
2014,每度！浦安铁筋家族,5358,6.3
2015,亚尔斯兰战记,3167,6.9
2014,火星异种,6845,6.1
2010,HHH トリプルエッチ,5362,6.4
2011,永远之久远 第五章 双绝的来复,5038,6.4
2012,樱花庄的宠物女孩,1100,7.4
2015,JOJO的奇妙冒险 星尘斗士 埃及篇,112,8.2
2012,中二病也要谈恋爱！Lite,2093,7.1
2014,氰化欢乐秀 第一季,1333,7.4
2010,信蜂 REVERSE,2523,7.0
2010,荒川爆笑团2,741,7.6
2015,为什么猫都叫不来,4588,6.3
2012,少年正义联盟 第二季,576,8.0
2016,精灵宝可梦 太阳&月亮,919,7.5
2013,妖精的尾巴 心跳不已·龙舌兰乐园,2674,6.9
2010,第五届东方M-1漫才大赛,1254,7.4
2016,银魂 爱染香篇,1578,7.3
2013,想成为世界最强,8256,5.3
2010,ネトラレ ～田辺優香の独白～,7998,5.1
